duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,calss
46234629,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,46234629,0,46234629,-1,46234629,-1,46200000.0,0.0,0.0,0.0,0,0,0,0,40,0,0.04325762,0.0,0.04325762,2.2493963,52,52,52.0,1.0,46234629,46234629,46200000.0,0.0,2,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,2,104,0,0,46234629,46200000.0,46234629,0.0,46234629,46200000.0,46234629,0.0,3,88704,-1,0,2,32,asware
11115500,6,4,1750,539,52,52,767,375,291.66666,134.75,368.20438,160.21002,11115500,6084626,8872,139988,5031123,4442923,2223100.0,2028208.6,2493556.5,2199252.0,2,1,0,0,120,80,0.53978676,0.35985786,0.8996446,205.92867,52,767,228.9,300.73425,8872,4919086,1235055.5,1988833.0,1,2,0,3,9,0,0,0,0.308,228.9,291.66666,120,0,0,0,25667.25,134,0,0,0,2,583,1,179,1389678,3705166.8,5031123,2012314.9,1159131,3507046.8,4919086,2047245.4,2,4194240,1853440,3,6,32,asware
7049755,2,0,80,0,40,-1,40,-1,40.0,0.0,1.0,0.0,7049755,0,7049755,-1,7049755,-1,7049755.0,0.0,0.0,0.0,0,0,0,0,40,0,0.2836978,0.0,0.2836978,11.347912,40,40,40.0,1.0,7049755,7049755,7049755.0,0.0,2,0,0,0,2,0,0,0,0.0,40.0,40.0,40,0,0,0,0.0,0,0,0,0,2,80,0,0,7049755,7049755.0,7049755,0.0,7049755,7049755.0,7049755,0.0,3,89088,-1,0,2,20,asware
5943,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,5943,0,5943,-1,5943,-1,5943.0,0.0,0.0,0.0,0,0,0,0,40,0,336.53036,0.0,336.53036,17499.58,52,52,52.0,1.0,5943,5943,5943.0,0.0,0,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,5824,-1,0,2,32,benign
0,1,0,420,0,420,-1,420,-1,420.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,420,420,420.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,420.0,420.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
3806,1,1,52,52,52,52,52,52,52.0,52.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,262.74304,262.74304,525.4861,27325.275,52,52,52.0,1.0,3806,3806,3806.0,0.0,1,0,0,0,2,0,0,0,1.0,52.0,52.0,20,0,0,0,0.0,52,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4480,87616,1,1,32,benign
42817,1,1,52,52,52,52,52,52,52.0,52.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23.35521,23.35521,46.71042,2428.942,52,52,52.0,1.0,42817,42817,42817.0,0.0,1,0,0,0,2,0,0,0,1.0,52.0,52.0,20,0,0,0,0.0,52,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,87616,15168,1,1,32,asware
4033624,11,8,1332,4236,52,52,493,1064,121.09091,529.5,138.6131,455.1262,4033624,467700,2,93,3412249,218909,403362.4,66814.29,1058827.9,88286.266,3,3,0,0,220,160,2.7270763,1.9833281,4.7104044,1380.3964,52,1064,293.05264,366.26144,2,3412249,224090.22,797088.6,1,2,0,6,18,0,0,0,3.18018,293.05264,121.09091,220,334,4,3096,207139.86,529,3577,5,994993,11,1332,8,4236,4033624,4033624.0,4033624,0.0,3412249,3412249.0,3412249,0.0,2,4194240,1145472,7,11,32,benign
0,1,0,365,0,365,-1,365,-1,365.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,365,365,365.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,365.0,365.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
5,3,0,156,0,52,-1,52,-1,52.0,0.0,0.70710677,0.0,5,0,2,-1,3,-1,2.5,0.0,0.70710677,0.0,0,0,0,0,60,0,600000.0,0.0,600000.0,31200000.0,52,52,52.0,0.70710677,2,3,2.5,0.70710677,1,0,0,0,3,0,0,0,0.0,52.0,52.0,60,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,4,115264,-1,0,3,32,benign
6,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,6,0,6,-1,6,-1,6.0,0.0,0.0,0.0,0,0,0,0,40,0,333333.34,0.0,333333.34,17300000.0,52,52,52.0,1.0,6,6,6.0,0.0,1,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,88704,-1,0,2,32,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
29984,1,1,61,284,61,284,61,284,61.0,284.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,33.35112,33.35112,66.70224,11506.137,61,284,172.5,157.68164,29984,29984,29984.0,0.0,0,0,0,0,0,0,0,0,4.655738,172.5,61.0,20,0,0,0,0.0,284,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
29923,1,1,71,213,71,213,71,213,71.0,213.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,33.41911,33.41911,66.83822,9491.027,71,213,142.0,100.40418,29923,29923,29923.0,0.0,0,0,0,0,0,0,0,0,3.0,142.0,71.0,20,0,0,0,0.0,213,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
0,1,0,52,0,52,-1,52,-1,52.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,52,52,52.0,0.0,-1,-1,0.0,0.0,1,0,0,0,1,0,0,0,0.0,52.0,52.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,87616,-1,0,1,32,benign
23147135,12,10,4207,2343,52,52,767,898,350.58334,234.3,367.59216,278.17523,23147135,18117737,3,118967,5030254,4050968,2104285.0,2013081.9,1775285.1,1518395.5,5,4,0,0,240,200,0.51842266,0.4320189,0.9504416,282.97238,52,898,297.72726,327.80316,3,4917386,1102244.5,1601286.6,1,2,0,9,21,0,0,0,0.55692893,297.72726,350.58334,240,0,0,0,77381.45,234,0,0,0,2,701,1,390,2142188,3857855.8,6144998,1566583.9,2132375,3404641.0,4917386,1080788.2,2,4194240,1853440,6,12,32,asware
22330007,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,22330007,0,22330007,-1,22330007,-1,22300000.0,0.0,0.0,0.0,0,0,0,0,40,0,0.08956558,0.0,0.08956558,4.65741,52,52,52.0,1.0,22330007,22330007,22300000.0,0.0,2,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,2,104,0,0,22330007,22300000.0,22330007,0.0,22330007,22300000.0,22330007,0.0,3,88704,-1,0,2,32,asware
0,1,0,408,0,408,-1,408,-1,408.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,408,408,408.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,408.0,408.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
1899,1,1,52,52,52,52,52,52,52.0,52.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,526.59296,526.59296,1053.1859,54765.668,52,52,52.0,1.0,1899,1899,1899.0,0.0,1,0,0,0,2,0,0,0,1.0,52.0,52.0,20,0,0,0,0.0,52,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,64064,88704,1,1,32,asware
9100021,2,1,216,108,108,108,108,108,108.0,108.0,1.0,0.0,5018998,0,5018998,-1,5018998,-1,5018998.0,0.0,0.0,0.0,0,0,0,0,40,20,0.21977971,0.10988986,0.32966956,35.604313,108,108,108.0,0.70710677,4081023,5018998,4550010.5,663248.5,0,0,0,0,0,0,0,0,0.5,108.0,108.0,40,0,0,0,0.0,108,0,0,0,1,108,0,54,4081023,4550010.5,5018998,663248.5,4081023,4550010.5,5018998,663248.5,3,0,0,0,2,0,benign
0,1,0,356,0,356,-1,356,-1,356.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,356,356,356.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
13,2,0,135,0,52,-1,83,-1,67.5,0.0,21.897488,0.0,13,0,13,-1,13,-1,13.0,0.0,0.0,0.0,1,0,0,0,40,0,153846.16,0.0,153846.16,10400000.0,52,83,67.5,21.897488,13,13,13.0,0.0,1,0,0,1,2,0,0,0,0.0,67.5,67.5,40,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,62912,-1,0,2,32,benign
30802007,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,30802007,0,30802007,-1,30802007,-1,30800000.0,0.0,0.0,0.0,0,0,0,0,40,0,0.064930834,0.0,0.064930834,3.3764033,52,52,52.0,1.0,30802007,30802007,30800000.0,0.0,2,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,2,104,0,0,30802007,30800000.0,30802007,0.0,30802007,30800000.0,30802007,0.0,3,88704,-1,0,2,32,benign
0,1,0,52,0,52,-1,52,-1,52.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,52,52,52.0,0.0,-1,-1,0.0,0.0,0,0,0,0,1,0,0,0,0.0,52.0,52.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,7808,-1,0,1,32,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
0,0,1,0,83,-1,83,-1,83,0.0,83.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,1,0,0,0,20,0.0,0.0,0.0,0.0,83,83,83.0,0.0,-1,-1,0.0,0.0,0,0,0,1,1,0,0,0,0.0,83.0,0.0,0,0,0,0,0.0,83,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,-1,89792,1,0,0,benign
12,0,2,0,167,-1,52,-1,115,0.0,83.5,0.0,44.536503,0,12,-1,12,-1,12,0.0,12.0,0.0,0.0,0,1,0,0,0,40,0.0,166666.67,166666.67,13900000.0,52,115,83.5,44.536503,12,12,12.0,0.0,1,0,0,1,2,0,0,0,0.0,83.5,0.0,0,0,0,0,1983.5,83,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,-1,18176,2,0,0,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
65915811,4,4,495,1416,52,52,331,1252,123.75,354.0,138.21692,598.6783,924125,65654544,3,1540,653625,64999502,308041.66,21900000.0,328424.47,37300000.0,1,1,0,0,80,80,0.060683466,0.060683466,0.12136693,28.991528,52,1252,238.875,420.64404,3,64991686,9416544.0,24500000.0,1,2,0,2,7,0,0,0,2.860606,238.875,123.75,80,0,0,0,358415.66,354,0,0,0,4,495,4,1416,65915811,65900000.0,65915811,0.0,64991686,65000000.0,64991686,0.0,2,4194240,926720,3,4,32,asware
2433,1,1,74,90,74,90,74,90,74.0,90.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,411.0152,411.0152,822.0304,67406.49,74,90,82.0,11.269427,2433,2433,2433.0,0.0,0,0,0,0,0,0,0,0,1.2162162,82.0,74.0,20,0,0,0,0.0,90,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
0,1,0,52,0,52,-1,52,-1,52.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,52,52,52.0,0.0,-1,-1,0.0,0.0,1,0,0,0,1,0,0,0,0.0,52.0,52.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,88704,-1,0,1,32,asware
59978462,4,3,1430,436,52,52,1078,307,357.5,145.33333,489.1387,140.56256,59975760,59972411,4,357,59866264,59972054,20000000.0,30000000.0,34500000.0,42400000.0,2,2,0,0,80,60,0.06669061,0.050017957,0.11670856,31.111168,52,1078,266.57144,372.92865,4,59866264,9996410.0,24400000.0,0,0,0,4,7,0,0,0,0.3048951,266.57144,357.5,80,0,0,0,19757.834,145,0,0,0,4,1430,3,436,59868966,59900000.0,59868966,0.0,59866264,59900000.0,59866264,0.0,2,262336,32768,2,4,32,benign
0,1,0,40,0,40,-1,40,-1,40.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,40,40,40.0,0.0,-1,-1,0.0,0.0,0,0,0,0,1,0,0,0,0.0,40.0,40.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,1023872,-1,0,1,20,benign
60126,6,4,1881,515,52,52,1003,351,313.5,128.75,416.23804,148.21353,60126,35110,2,464,33749,26811,12025.2,11703.333,16192.152,13592.796,2,1,0,0,120,80,99.79044,66.52696,166.3174,39849.65,52,1003,239.6,335.67368,2,23635,6680.6665,9780.641,1,2,0,3,9,0,0,0,0.27379054,239.6,313.5,120,0,0,0,21967.25,128,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,1853440,2,6,32,benign
0,1,0,356,0,356,-1,356,-1,356.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,356,356,356.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
2809877,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,2809877,0,2809877,-1,2809877,-1,2809877.0,0.0,0.0,0.0,0,0,0,0,40,0,0.71177495,0.0,0.71177495,37.012295,52,52,52.0,1.0,2809877,2809877,2809877.0,0.0,2,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,2,104,0,0,2809877,2809877.0,2809877,0.0,2809877,2809877.0,2809877,0.0,3,119872,-1,0,2,32,asware
173236,1,1,64,212,64,212,64,212,64.0,212.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,5.7724724,5.7724724,11.544945,1593.2024,64,212,138.0,104.647026,173236,173236,173236.0,0.0,0,0,0,0,0,0,0,0,3.3125,138.0,64.0,20,0,0,0,0.0,212,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
120229630,4,4,415,723,52,52,251,559,103.75,180.75,98.23738,252.1942,232497,120117940,2,4904,118373,120000540,77499.0,40000000.0,67148.016,69200000.0,1,1,0,0,80,80,0.03326967,0.03326967,0.06653934,9.46522,52,559,142.25,181.90128,2,119997133,17200000.0,45300000.0,1,2,0,2,7,0,0,0,1.7421687,142.25,103.75,80,0,0,0,63601.918,180,0,0,0,4,415,4,723,120229630,120000000.0,120229630,0.0,119997133,120000000.0,119997133,0.0,2,4194240,1853440,3,4,32,benign
0,1,0,52,0,52,-1,52,-1,52.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,52,52,52.0,0.0,-1,-1,0.0,0.0,0,0,0,0,1,0,0,0,0.0,52.0,52.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,522880,-1,0,1,32,asware
240234735,10,11,2310,5325,52,52,1390,1390,231.0,484.0909,413.34503,530.1579,233502,240194200,3,80,76001,240006876,25944.666,24000000.0,27978.65,75900000.0,3,5,0,0,200,220,0.041625954,0.04578855,0.0874145,31.781416,52,1390,363.57144,483.93637,3,240001233,12000000.0,53700000.0,1,2,0,8,20,0,0,0,2.3051949,363.57144,231.0,200,334,4,16391,281067.4,484,2449,4,150998,10,2310,11,5325,240234735,240000000.0,240234735,0.0,240001233,240000000.0,240001233,0.0,2,4194240,2722560,9,10,32,benign
59955721,4,3,1430,436,52,52,1078,307,357.5,145.33333,489.1387,140.56256,59906384,59950255,5,43623,59797641,59906632,20000000.0,30000000.0,34500000.0,42300000.0,2,2,0,0,80,60,0.0667159,0.050036926,0.116752826,31.122969,52,1078,266.57144,372.92865,5,59797641,9992620.0,24400000.0,0,0,0,4,7,0,0,0,0.3048951,266.57144,357.5,80,0,0,0,19757.834,145,0,0,0,4,1430,3,436,59846978,59800000.0,59846978,0.0,59797641,59800000.0,59797641,0.0,3,262336,32512,2,4,32,benign
